DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,UNIQUE_KEY,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
04/10/2018,11:00,QUEENS,11361,40.76879,-73.7747,"(40.76879, -73.7747)",35 AVENUE                       ,213 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3878314,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,11:00,QUEENS,11412,40.70882,-73.751854,"(40.70882, -73.751854)",109 AVENUE                      ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878680,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:00,STATEN ISLAND,10312,40.52666,-74.17248,"(40.52666, -74.17248)",,,4982      HYLAN BOULEVARD               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878048,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:00,,,40.625484,-74.15868,"(40.625484, -74.15868)",,,30        HEANEY AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878614,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,11:00,MANHATTAN,10036,40.758533,-73.98885,"(40.758533, -73.98885)",WEST 44 STREET                  ,8 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3879509,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:03,BROOKLYN,11223,40.594433,-73.96484,"(40.594433, -73.96484)",OCEAN PARKWAY                   ,GRAVESEND NECK ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878585,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:08,BROOKLYN,11236,40.648323,-73.91368,"(40.648323, -73.91368)",,,790       EAST 91 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878357,SPORT UTILITY / STATION WAGON,,,,
04/10/2018,11:10,BROOKLYN,11238,40.68148,-73.95736,"(40.68148, -73.95736)",CLAVER PLACE                    ,FULTON STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3878675,SPORT UTILITY / STATION WAGON,TAXI,,,
04/10/2018,11:12,MANHATTAN,10013,40.722626,-74.008125,"(40.722626, -74.008125)",HUDSON STREET                   ,VESTRY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878988,TAXI,PASSENGER VEHICLE,,,
04/10/2018,11:15,BROOKLYN,11232,40.649376,-74.0023,"(40.649376, -74.0023)",40 STREET                       ,6 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3878920,SPORT UTILITY / STATION WAGON,,,,
